tag, ct, beta, theta, p, sigma, rho, epsilonA, epsilonI, lambda0, gammaA, gammaI, gammaD, cD, dD, dI, delta, S0, R0, Q0, E0, A0, I0, D0, day
CASES, Sierra_Leone, 9.999983245330856e-06, 0.1584496721665321, 0.01351602569607084, 0.14285714285714285, 0.12, 0.037975703926395536, 0.10000000012202208, 0.017241379310344827, 0.10000061321990944, 0.1, 0.10114193583002687, 1.4, 0.00617555917551046, 0.008645782845714644, 0.016406265983842483, 16002.668514922309, 0, 469.2, 3.0, 1.2, 1.8, 1, 58
CASES, Burkina_Faso, 9.99992026801954e-06, 0.15943241607888747, 0.3299803728355297, 0.14285714285714285, 0.12, 0.19994283956942446, 0.3999999954597, 0.012987012987012988, 0.10000019868786769, 0.1, 0.10001458888928486, 1.4, 0.0066928954686011335, 0.009370053656041587, 0.00040881878086829193, 59106.300776217875, 0, 507.0, 6.0, 2.4, 3.6, 2, 77
CASES, Chad, 9.999998786914456e-06, 0.15999949414847112, 0.0010011864294985156, 0.14285714285714285, 0.12, 0.0017768385294033796, 0.10000000147567706, 0.014285714285714285, 0.10000019204954935, 0.1, 0.13708291396689493, 1.4, 0.013476661280923617, 0.018867325793293064, 0.011406578824256886, 107343.56492577716, 0, 429.0, 3.0, 1.2, 1.8, 1, 70
CASES, United_Republic_of_Tanzania, 1.4348893068938386e-09, 0.10116691439915583, 0.17345434140464627, 0.14285714285714285, 0.12, 0.0976402082953853, 0.10629413708362714, 0.0136986301369863, 0.10000360714837839, 0.1, 0.10093006662164984, 1.4, 0.004343302047243129, 0.00608062286614038, 0.0004993162032044252, 50231.09517946212, 0, 305.4, 3.0, 1.2, 1.8, 1, 73
CASES, Cases_on_an_international_conveyance_Japan, 9.999999800510603e-06, 0.1554323938976583, 0.2888420459193645, 0.14285714285714285, 0.12, 0.0704391807973794, 0.3177964469123264, 0.03571428571428571, 0.1440430355942044, 0.1, 0.10003188677410307, 1.4, 0.0010162891254263012, 0.0014228047755968215, 0.787446617215523, 1732.6967447495047, 0, 417.59999999999997, 30.0, 12.0, 18.0, 10, 28
CASES, Sao_Tome_and_Principe, 9.998743414953098e-06, 0.15984665978176676, 0.040654544890088434, 0.14285714285714285, 0.12, 0.020442567884082455, 0.10000000000556739, 0.02, 0.10000000001613199, 0.1, 0.14996989196499913, 1.4, 0.004175495831972134, 0.005845694164760987, 0.01650059519561292, 8246.491551874997, 0, 265.8, 12.0, 4.8, 7.2, 4, 50
CASES, Costa_Rica, 2.5236569878432873e-07, 0.10011252526422657, 0.3299963686744526, 0.14285714285714285, 0.12, 0.0003226102958703958, 0.39999990600069524, 0.012195121951219513, 0.1489748242437548, 0.1, 0.14408516743465014, 1.4, 0.0014793138340313155, 0.0020710393676438414, 0.0004851147525381516, 354545.1761618044, 0, 590.4, 3.0, 1.2, 1.8, 1, 82
CASES, Georgia, 9.999999998996528e-06, 0.15999999255356748, 0.08365366012103106, 0.14285714285714285, 0.12, 0.10327466562966775, 0.10024690167462304, 0.011235955056179775, 0.10000000018873673, 0.1, 0.1007448337345488, 1.4, 0.0016721134229800631, 0.002340958792172088, 0.00036907739603803114, 66788.11572875617, 0, 441.0, 3.0, 1.2, 1.8, 1, 89
CASES, Niger, 9.894120760856163e-06, 0.15211857454876077, 0.0512801991778378, 0.14285714285714285, 0.12, 0.006290591387211142, 0.3967225003801371, 0.014492753623188406, 0.11180748563571466, 0.1, 0.10906957860526484, 1.4, 0.007834402952566724, 0.010968164133593413, 0.786667025065349, 6141.247120350685, 0, 573.0, 3.0, 1.2, 1.8, 1, 69
CASES, San_Marino, 1.0848646506854355e-07, 0.14968801242163532, 0.03849115376478509, 0.14285714285714285, 0.12, 0.06001458519554462, 0.3999196236366721, 0.011111111111111112, 0.1000331144659767, 0.1, 0.10036348139927091, 1.4, 0.006744425950031005, 0.009442196330043407, 0.04956577060825795, 1604.6203794686583, 0, 400.2, 3.0, 1.2, 1.8, 1, 90
CASES, Madagascar, 8.492091986509175e-06, 0.15999252176616208, 0.0010000131608794013, 0.14285714285714285, 0.12, 0.06066749689930282, 0.11264200973111897, 0.014492753623188406, 0.1000614510784823, 0.1, 0.1032391114194862, 1.4, 0.00033848888989995474, 0.0004738844458599366, 0.00017837008908788698, 141611.0488043849, 0, 367.2, 9.0, 3.5999999999999996, 5.4, 3, 69
CASES, Uruguay, 9.999999999958798e-06, 0.15999958800278752, 0.32994549631837666, 0.14285714285714285, 0.12, 0.1889824603360828, 0.262661741343257, 0.013333333333333334, 0.14999999999979868, 0.1, 0.10176818007869998, 1.4, 0.0028667092979915484, 0.004013393017188167, 0.0001308883077881795, 193989.09007724276, 0, 481.79999999999995, 18.0, 7.199999999999999, 10.8, 6, 75
CASES, Ethiopia, 9.803298954895813e-06, 0.15999695690426596, 0.0010000000316361367, 0.14285714285714285, 0.12, 0.09194560930927514, 0.1648622962364761, 0.013157894736842105, 0.10003767850971511, 0.1, 0.10000236087870779, 1.4, 0.0008276057452030989, 0.0011586480432843383, 6.090323813490173e-06, 161578.43191949514, 0, 438.59999999999997, 3.0, 1.2, 1.8, 1, 76
CASES, Taiwan, 9.999999780305714e-06, 0.15999994037282544, 0.06934278402872773, 0.14285714285714285, 0.12, 0.019608995588448554, 0.10002566982516134, 0.007874015748031496, 0.10000014802490394, 0.1, 0.10000696078300612, 1.4, 0.0016130154965000986, 0.002258221695100138, 0.0011680428059341885, 25317.295022665054, 0, 264.59999999999997, 3.0, 1.2, 1.8, 1, 127
CASES, Malta, 9.960098446064343e-06, 0.10227529685665056, 0.17381247662601734, 0.14285714285714285, 0.12, 0.17600159901308393, 0.10205370986454358, 0.012048192771084338, 0.1277468495710251, 0.1, 0.13984928218021825, 1.4, 0.00161010686720646, 0.002254149614089044, 0.034115783862500526, 794.5066223945283, 0, 369.0, 3.0, 1.2, 1.8, 1, 83
CASES, Jordan, 9.912272744695624e-06, 0.10000202618003462, 0.32996151830404796, 0.14285714285714285, 0.12, 0.047711169681635815, 0.39999358081082803, 0.012987012987012988, 0.12575862151851475, 0.1, 0.12590219095393268, 1.4, 0.001593698619670034, 0.0022311780675380475, 0.00022241265689648682, 171950.47850594672, 0, 432.0, 3.0, 1.2, 1.8, 1, 77
CASES, South_Sudan, 9.999942395957768e-06, 0.15999911676351852, 0.014480771112548665, 0.14285714285714285, 0.12, 0.1000437098430944, 0.10000394193339585, 0.018867924528301886, 0.10000000709690979, 0.1, 0.10000228033018094, 1.4, 0.001002529126117102, 0.0014035407765639427, 0.001384147442744177, 62836.968669121794, 0, 483.59999999999997, 3.0, 1.2, 1.8, 1, 53
CASES, Paraguay, 9.999999420242769e-06, 0.15999995638261072, 0.02013202555758905, 0.14285714285714285, 0.12, 0.1815460359335871, 0.260901291564434, 0.01282051282051282, 0.10046334179326691, 0.1, 0.10055476823279733, 1.4, 0.0012670131163353613, 0.0017738183628695056, 2.7802472493509978e-05, 262121.89694550578, 0, 530.4, 3.0, 1.2, 1.8, 1, 78
CASES, Cyprus, 9.98330556878372e-06, 0.15986315469047785, 0.31698947520694787, 0.14285714285714285, 0.12, 0.1999999999385319, 0.39965909666420885, 0.012987012987012988, 0.14999649336909393, 0.1, 0.10250922839880723, 1.4, 0.0018900833869628232, 0.002646116741747952, 0.00018168227261250447, 175147.2003574717, 0, 563.4, 6.0, 2.4, 3.6, 2, 77
CASES, Palestine, 9.976333118992578e-06, 0.10819027240460549, 0.3298624641731971, 0.14285714285714285, 0.12, 0.14023149515759478, 0.10007826079746097, 0.012345679012345678, 0.14993421855873673, 0.1, 0.10438474450003626, 1.4, 0.0008584271751647718, 0.0012017980452306805, 0.00025580386879325845, 80023.51803561549, 0, 367.8, 21.0, 8.4, 12.6, 7, 81
CASES, Kosovo, 9.999999982176481e-06, 0.10002759665227635, 0.3299994083439564, 0.14285714285714285, 0.12, 0.10215247922660738, 0.39996694598545635, 0.013513513513513514, 0.14968059985493998, 0.1, 0.14962923393505115, 1.4, 0.0044138417089985595, 0.006179378392597983, 0.0009085124279231693, 50885.18549880361, 0, 628.1999999999999, 6.0, 2.4, 3.6, 2, 74
CASES, Nicaragua, 9.99999958099915e-06, 0.15986022593840588, 0.0055258712295546035, 0.14285714285714285, 0.12, 0.007218522691205354, 0.10000002023528626, 0.014084507042253521, 0.10000011783524174, 0.1, 0.1000066125797908, 1.4, 0.004834573812558947, 0.006768403337582525, 0.005640822887415464, 33145.243518258016, 0, 455.4, 3.0, 1.2, 1.8, 1, 71
CASES, Equatorial_Guinea, 2.528084824197477e-06, 0.10332487346368321, 0.015089353967614405, 0.14285714285714285, 0.12, 0.01114010349783019, 0.10000016247288934, 0.013513513513513514, 0.10000125296975594, 0.1, 0.1446369470715614, 1.4, 0.0016834562219774365, 0.002356838710768411, 9.754752694773883e-05, 722546.0564658064, 0, 625.8, 3.0, 1.2, 1.8, 1, 74
CASES, Albania, 9.999996303546293e-06, 0.15933567892853848, 0.3299999073333417, 0.14285714285714285, 0.12, 0.19999999675213723, 0.39999578457111695, 0.012345679012345678, 0.14861184817871848, 0.1, 0.10000692492052365, 1.4, 0.0032450624605479656, 0.004543087444767151, 0.00032338354838323813, 88314.61834014853, 0, 630.0, 6.0, 2.4, 3.6, 2, 81
CASES, Central_African_Republic, 9.999999659990979e-06, 0.15984666300920308, 0.004479011050406262, 0.14285714285714285, 0.12, 0.012901236504633918, 0.10000000000149196, 0.013513513513513514, 0.1000000005687361, 0.1, 0.13334840872389725, 1.4, 0.0001902259753550603, 0.0002663163654970844, 0.005587616514808824, 50232.06174109425, 0, 421.2, 3.0, 1.2, 1.8, 1, 74
CASES, Congo, 9.997339192428559e-06, 0.10090607035372094, 0.019626401600455742, 0.14285714285714285, 0.12, 0.19897161919313341, 0.10015609432476132, 0.013513513513513514, 0.10000717113721566, 0.1, 0.12520945916751278, 1.4, 0.00430974587714265, 0.006033644227999711, 0.0006681724911994369, 46210.33230024338, 0, 342.59999999999997, 3.0, 1.2, 1.8, 1, 74
CASES, Tunisia, 9.707725297778109e-06, 0.15582502213709604, 0.32994896563985915, 0.14285714285714285, 0.12, 0.10613231935588491, 0.39982124308443034, 0.012345679012345678, 0.1245957224281096, 0.1, 0.10041157471201885, 1.4, 0.004805339567474482, 0.006727475394464275, 0.00047621418020876716, 89802.95628953735, 0, 630.6, 3.0, 1.2, 1.8, 1, 81
CASES, Latvia, 9.999999812967447e-06, 0.15990710289602383, 0.3299999999810847, 0.14285714285714285, 0.12, 0.199964000698131, 0.3999977584904567, 0.012048192771084338, 0.1499999999562328, 0.1, 0.10069187007803107, 1.4, 0.002239761133263747, 0.0031356655865692456, 0.0021387176057116597, 14922.626059320137, 0, 634.1999999999999, 3.0, 1.2, 1.8, 1, 83
