tag, ct, beta, theta, p, sigma, rho, epsilonA, epsilonI, lambda0, gammaA, gammaI, gammaD, cD, dD, dI, delta, S0, R0, Q0, E0, A0, I0, D0, day
CASES, Taiwan, 4.842069108718574e-06, 0.1599243967991662, 0.045135379237113984, 0.14285714285714285, 0.12, 0.0009247130081020405, 0.10014733805160601, 0.007518796992481203, 0.1296719799358022, 0.1, 0.11388672819963204, 1.4, 0.0018284566454069365, 0.002559839303569711, 8.36277807459429e-05, 447959.0435024081, 0, 265.8, 3.0, 1.2, 1.8, 1, 133
CASES, Spain, 1.5240094703313668e-07, 0.1599314596764208, 0.054193427266594825, 0.14285714285714285, 0.12, 0.05052556736847054, 0.10111997610987875, 0.008130081300813009, 0.12435048165109458, 0.1, 0.14990630692551188, 1.4, 0.019757265441614786, 0.027660171618260697, 0.00010178696948609511, 25934669.203588672, 0, 143959.19999999998, 3.0, 1.2, 1.8, 1, 123
CASES, India, 4.9922213548614795e-06, 0.10000006252528208, 0.002933028052761733, 0.14285714285714285, 0.12, 0.1999999998451424, 0.1767690849571426, 0.008, 0.10000013417038947, 0.1, 0.14966057836525226, 1.4, 0.0043125682021503565, 0.0060375954830104986, 5.551115123125783e-17, 624965.446498608, 0, 124569.0, 3.0, 1.2, 1.8, 1, 125
CASES, Roraima, 1.3285520712261963e-06, 0.1599999999930775, 0.0031957404680673044, 0.14285714285714285, 0.12, 0.026568318771957512, 0.10000003002481948, 0.0136986301369863, 0.1000000001013015, 0.1, 0.10000003485687599, 1.4, 0.0032171592983445355, 0.00450402301768235, 0.0019667079672152643, 598931.0024760138, 0, 2310.0, 6.0, 2.4, 3.6, 2, 73
CASES, Cyprus, 9.956873561005875e-06, 0.15997798453337828, 0.32999999647611195, 0.14285714285714285, 0.12, 0.19999871452116436, 0.13259783162448185, 0.011904761904761904, 0.14992767558349618, 0.1, 0.14936648969783806, 1.4, 0.00271575435814251, 0.0038020561013995136, 0.04643968317115876, 1216.2414773446358, 0, 571.1999999999999, 6.0, 2.4, 3.6, 2, 84
CASES, Tunisia, 9.999999963310911e-06, 0.1599999993078046, 0.10389327028208989, 0.14285714285714285, 0.12, 8.75674421862982e-11, 0.10000003270492541, 0.011494252873563218, 0.10000000079783952, 0.1, 0.10000001937267805, 1.4, 0.004624278352493783, 0.006473989693491296, 0.09188910245280268, 18203.225351587193, 0, 651.6, 3.0, 1.2, 1.8, 1, 87
CASES, Thailand, 1.9939708563746296e-06, 0.15999888037395488, 0.036580270134121115, 0.14285714285714285, 0.12, 2.1933871274804065e-09, 0.10000066485559234, 0.007352941176470588, 0.14999921350930712, 0.1, 0.14914132278903153, 1.4, 0.0028595691642194477, 0.0040033968299072265, 8.409375927953544e-05, 1454580.9086571035, 0, 1849.8, 3.0, 1.2, 1.8, 1, 136
CASES, Iceland, 9.999439525371399e-06, 0.1599999065036528, 0.32999984385736714, 0.14285714285714285, 0.12, 0.1532330415286058, 0.13246736248396948, 0.010416666666666666, 0.10000000002875242, 0.1, 0.10004085277680683, 1.4, 0.0005570203384009289, 0.0007798284737613004, 0.04986284043408479, 2167.922951184088, 0, 1083.6, 3.0, 1.2, 1.8, 1, 96
CASES, Spain, 3.5117424486793615e-06, 0.15999849420468054, 0.013243394665907265, 0.14285714285714285, 0.12, 0.015134088011193182, 0.3445283818571529, 0.008130081300813009, 0.10000624694547589, 0.1, 0.1001135842750957, 1.4, 0.01319471274692523, 0.018472597845695323, 1.9988011246141468e-11, 1600150.0103419372, 0, 143959.19999999998, 3.0, 1.2, 1.8, 1, 123
CASES, Uruguay, 9.999999996492817e-06, 0.14255178617513256, 0.003432286772284062, 0.14285714285714285, 0.12, 0.199978802777776, 0.1079665651068277, 0.012345679012345678, 0.10000000000003628, 0.1, 0.10001061170157019, 1.4, 0.0028645629752629066, 0.004010388165368069, 0.0011931547474408055, 88414.59516364115, 0, 495.59999999999997, 18.0, 7.199999999999999, 10.8, 6, 81
CASES, Taiwan, 9.999289734542477e-06, 0.15999924499664792, 0.09302644680199927, 0.14285714285714285, 0.12, 0.02814805916864137, 0.10000186332839507, 0.007518796992481203, 0.10007377372504474, 0.1, 0.10005876465315248, 1.4, 0.0016064480563579527, 0.0022490272789011338, 0.0005496920962762553, 38106.75366542136, 0, 265.8, 3.0, 1.2, 1.8, 1, 133
CASES, Luxembourg, 9.988601157248096e-06, 0.13001022123218187, 0.18506760652545473, 0.14285714285714285, 0.12, 0.10278175755930491, 0.1000000136278629, 0.011363636363636364, 0.12500000000064543, 0.1, 0.10045026600858277, 1.4, 0.002825966562901306, 0.003956353188061828, 0.09783913447483217, 6381.841217790343, 0, 2412.0, 3.0, 1.2, 1.8, 1, 88
