,tag,ct,beta,theta,p,sigma,rho,epsilonA,epsilonI,lambda0,gammaA,gammaI,gammaD,cD,dD,dI,delta,S0,R0,Q0,E0,A0,I0,D0,day
81,CASES,Acre,9.999583464705584e-06,0.15999999975048518,0.00282018493323747,0.14285714285714285,0.12,0.005212037901363809,0.10004562318954817,0.013157894736842105,0.10000003938077462,0.1,0.10000208619065512,1.4,0.002619102257374301,0.003666743160324021,0.0012919238201777874,174658.9168579821,0,3879.0,9.0,3.6,5.4,3,76
115,CASES,Afghanistan,9.876756809734973e-06,0.15998521613257333,0.11354975788163416,0.14285714285714285,0.12,0.007004861705598975,0.10001463130886737,0.011111111111111113,0.10002171830269004,0.1,0.1000000001175188,1.4,0.0016626639590941608,0.002327729542731825,6.51084062219809e-08,48069.1168171469,0,9905.4,3.0,1.2,1.8,1,90
105,CASES,Alagoas,6.665877886226414e-07,0.15999999786923166,0.002305485189690746,0.14285714285714285,0.12,0.013170114991821979,0.1000012693844926,0.011494252873563218,0.10000609372718368,0.1,0.1005875739502136,1.4,0.004376926121152204,0.006127696569613084,0.00027957580300774776,2032067.2678212638,0,6935.4,3.0,1.2,1.8,1,87
29,CASES,Albania,9.999999978528427e-06,0.15999994926523506,0.3085274995311293,0.14285714285714285,0.12,0.19999999778018865,0.39999416977003655,0.011494252873563218,0.14998945286961146,0.1,0.10052875416151616,1.4,0.0029331997235455647,0.0041064796129637905,0.00026279922382949067,106975.03068316387,0,698.4,6.0,2.4,3.6,2,87
102,CASES,Algeria,5.283040299718208e-06,0.10018959265232527,0.00818183172666553,0.14285714285714285,0.12,0.1999999930452532,0.3953405299183997,0.010638297872340424,0.10038487916509736,0.1,0.14989034704556542,1.4,0.011159377327758915,0.015623128258862484,0.0010590132440132516,335899.80629018036,0,5775.5999999999985,3.0,1.2,1.8,1,94
98,CASES,Amapa,9.998534474437483e-06,0.15999276226362535,0.0010000042630082463,0.14285714285714285,0.12,0.07020404697315674,0.10472151879909404,0.013333333333333334,0.10000009722583683,0.1,0.10008419268481468,1.4,0.0023087360002239715,0.00323223040031356,0.002609340768648105,143283.4168820428,0,6306.5999999999985,3.0,1.2,1.8,1,75
140,CASES,Amazonas,9.999073472287116e-06,0.1306204255279109,0.05998057765075779,0.14285714285714285,0.12,0.04372798984978746,0.2050086689624601,0.0125,0.10032591486213213,0.1,0.13346775166585614,1.4,0.006827177718872548,0.009558048806421566,0.0036607910251599267,271509.37727098126,0,25917.0,3.0,1.2,1.8,1,80
75,CASES,Andorra,9.999999390906216e-06,0.15987059916306778,0.22549788454039116,0.14285714285714285,0.12,0.09688391794424092,0.39999827224297735,0.012195121951219513,0.11173877124261247,0.1,0.14999999836424588,1.4,0.009646910361382774,0.013505674505935884,0.1601842768235608,1013.1333104559449,0,506.4,3.0,1.2,1.8,1,82
119,CASES,Argentina,4.55778868351402e-06,0.12728000922077595,0.0010000000038212944,0.14285714285714285,0.12,0.19999875283966428,0.10005377461442087,0.011235955056179777,0.10000078962186897,0.1,0.10000586692110323,1.4,0.003208171521571164,0.004491440130199629,0.0018022805457603157,334660.59399821854,0,10983.6,3.0,1.2,1.8,1,89
97,CASES,Armenia,9.083722387404351e-06,0.10000000000007753,0.0010000000555854516,0.14285714285714285,0.12,0.1999999654767721,0.10000000045402098,0.011627906976744186,0.10000000004462216,0.1,0.10000006889685843,1.4,0.001603899186448445,0.002245458861027823,0.001779618838711916,188966.3766361364,0,6005.4,3.0,1.2,1.8,1,86
85,CASES,Australia,9.999996694664524e-06,0.15999201570102792,0.0010765376535325868,0.14285714285714285,0.12,1.2959933858747165e-05,0.10000005864014623,0.0076335877862595426,0.10005550663319493,0.1,0.14999584707992986,1.4,0.002149118752936205,0.0030087662541106873,0.013814143654310884,137805.85244080526,0,4332.5999999999985,3.0,1.2,1.8,1,131
142,CASES,Austria,9.999910693588876e-06,0.10002806989766494,0.16310470662425294,0.14285714285714285,0.12,0.1999999999211601,0.3999849768509106,0.010101010101010102,0.14999999990495905,0.1,0.14999970793030515,1.4,0.006269903443009942,0.008777864820213921,8.65973959207622e-15,2883053.6437450773,0,10004.4,6.0,2.4,3.6,2,99
82,CASES,Azerbaijan,9.999998843266844e-06,0.13019099545614676,0.0010000000000193589,0.14285714285714285,0.12,0.19966141568937432,0.10000000037254707,0.011235955056179777,0.10000000057766673,0.1,0.1000210343941592,1.4,0.0012110323059320097,0.001695445228304813,0.004268766492623477,115838.1049252704,0,3561.0,3.0,1.2,1.8,1,89
122,CASES,Bahia,9.99985227235026e-06,0.1599997133506799,0.0010001504560711726,0.14285714285714285,0.12,0.0566464883102904,0.10001768434523356,0.011235955056179777,0.10000003346693567,0.1,0.10019096096867773,1.4,0.003563378142115918,0.004988729398962285,0.0010648851220514952,146990.60298403163,0,12858.0,3.0,1.2,1.8,1,89
109,CASES,Bahrain,8.759199803535498e-06,0.15999999997310813,0.0010000000000014609,0.14285714285714285,0.12,0.0939337274309236,0.10000000040423117,0.01,0.1367004540703531,0.1,0.10000030098237404,1.4,0.00015457254463595077,0.00021640156249033102,0.0018417005531477515,149407.17754948273,0,7386.5999999999985,3.0,1.2,1.8,1,100
143,CASES,Bangladesh,8.499849212784904e-06,0.15291463347261464,0.0025204063719684424,0.14285714285714285,0.12,0.1830909875021156,0.3083217530711184,0.012345679012345678,0.10000000099371946,0.1,0.1001638416488132,1.4,0.0013726643677324985,0.0019217301148254976,0.0008323183607406581,284718.13638154307,0,31467.0,9.0,3.6,5.4,3,81
168,CASES,Belarus,9.99997140861608e-06,0.15999999995119893,0.06202525129880398,0.14285714285714285,0.12,0.02126021149036309,0.10000000055151848,0.011235955056179777,0.10000000221547743,0.1,0.10000216681139107,1.4,0.0005521341119505595,0.0007729877567307832,2.017097600059969e-11,786886.1511280757,0,26553.0,3.0,1.2,1.8,1,89
145,CASES,Belgium,3.912982408474039e-06,0.15647299802031114,0.017022206080690574,0.14285714285714285,0.12,0.004195926692146956,0.11847227731813345,0.008264462809917356,0.10276287351676837,0.1,0.14932786120817226,1.4,0.02890167625297653,0.040462346754167135,1.8627959713635176e-07,576131.0643589239,0,35169.0,3.0,1.2,1.8,1,121
101,CASES,Bolivia,9.999987469342217e-06,0.15322564680579512,0.0010000000083347075,0.14285714285714285,0.12,0.18134535382250616,0.10000000246979146,0.012048192771084338,0.10000000000245393,0.1,0.1000068977698272,1.4,0.0035424016543999077,0.004959362316159871,0.0004069472203342417,181413.02563504095,0,6594.5999999999985,6.0,2.4,3.6,2,83
55,CASES,Bosnia_and_Herzegovina,3.051752756055848e-13,0.10000745102113384,0.05091364844322098,0.14285714285714285,0.12,0.0951066245666692,0.10000000018584304,0.012048192771084338,0.10007112987059227,0.1,0.1000004719861644,1.4,0.006560165529790431,0.009184231741706605,0.04663344918567919,4850.669014132354,0,1520.4,6.0,2.4,3.6,2,83
165,CASES,Brasil,1.1178956142127472e-06,0.15789073419578462,0.0010000295782518762,0.14285714285714285,0.12,0.10013622306471548,0.13730009216729352,0.010204081632653059,0.10000049508061158,0.1,0.10016649439552844,1.4,0.005961827256547495,0.008346558159166493,0.00020962610969660345,1718593.1500743898,0,333229.8,3.0,1.2,1.8,1,98
166,CASES,Brazil,8.571548754407809e-07,0.15127558669701724,0.0010009983074031584,0.14285714285714285,0.12,0.1784061902126068,0.11521212972045107,0.010101010101010102,0.1000154333618878,0.1,0.10011824629775601,1.4,0.0059589555695017185,0.008342537797302407,0.00027402419022237723,2256812.9440795267,0,333229.8,3.0,1.2,1.8,1,99
58,CASES,Bulgaria,9.980648078037747e-06,0.10000139591741984,0.3232369931711713,0.14285714285714285,0.12,0.04312825379241928,0.39990708826028004,0.011627906976744186,0.108757582574971,0.1,0.10127621772508223,1.4,0.006091802569929759,0.008528523597901662,0.0001584015199246891,626779.544703831,0,1522.8,6.0,2.4,3.6,2,86
9,CASES,Burkina_Faso,9.999992661260367e-06,0.12880494107848653,0.3299995993999895,0.14285714285714285,0.12,0.1999994766845036,0.39999975575220303,0.012048192771084338,0.1382927946119246,0.1,0.10013917395946896,1.4,0.006394429180544404,0.008952200852762165,0.0014256833984399586,18088.373271505177,0,529.8,6.0,2.4,3.6,2,83
84,CASES,Cameroon,9.988913225040007e-06,0.1301187873709558,0.0010000000000000182,0.14285714285714285,0.12,0.126437185569807,0.10000023452809127,0.012048192771084338,0.10000018814924573,0.1,0.1000061906589507,1.4,0.003132535337790155,0.0043855494729062175,0.005327346257319897,116918.26267218054,0,3951.0,3.0,1.2,1.8,1,83
150,CASES,Canada,6.848705903248165e-07,0.15989984631651338,0.022997338383078863,0.14285714285714285,0.12,9.447475137767116e-05,0.10000810807518874,0.007692307692307694,0.14983962272340845,0.1,0.12526739134908718,1.4,0.010897750212066487,0.015256850296893084,1.8304765270038548e-05,212108.57607172627,0,55439.4,3.0,1.2,1.8,1,130
54,CASES,Cape_Verde,9.999994988765594e-06,0.15999999489695824,0.022534272616386804,0.14285714285714285,0.12,0.002831399131118651,0.10000269572643683,0.013333333333333334,0.1000000060795693,0.1,0.10015806659007452,1.4,0.0010863130866602443,0.001520838321324342,0.0043392660790811935,43693.43535546406,0,279.6,6.0,2.4,3.6,2,75
12,CASES,Cases_on_an_international_conveyance_Japan,9.991812639837153e-06,0.1599757139854745,0.3299999956965501,0.14285714285714285,0.12,0.09303198624569553,0.399952948784701,0.03571428571428571,0.1014664121420262,0.1,0.1000038318692927,1.4,0.0010160040973658184,0.0014224057363121454,0.7195680334953216,1151.5744768576492,0,417.6,30.0,12.0,18.0,10,28
162,CASES,Ceara,1.136946127215916e-06,0.1599999224896006,0.030477446870099213,0.14285714285714285,0.12,0.1892622184676061,0.3748308318590169,0.01282051282051282,0.14999999999437352,0.1,0.14999980717527506,1.4,0.010334917835064369,0.014468884969090113,6.417055775642665e-11,5176670.305836267,0,31843.8,15.0,6.0,9.0,5,78
30,CASES,Central_African_Republic,9.999871724553482e-06,0.1599999450492221,0.001000032428236181,0.14285714285714285,0.12,6.512388528445712e-08,0.10000007523531476,0.0125,0.10000118366191244,0.1,0.1082941672831178,1.4,0.00037055318146490265,0.0005187744540508637,0.0008118033651760004,147663.20531745185,0,703.8,3.0,1.2,1.8,1,80
7,CASES,Chad,9.999791003368885e-06,0.15999988230078624,0.023969762874321118,0.14285714285714285,0.12,6.024674092941496e-11,0.1000410825912912,0.013157894736842105,0.14999906626360715,0.1,0.1499300302322763,1.4,0.013426569871547129,0.018797197820165985,0.00029930538892741776,226878.198530302,0,481.8,3.0,1.2,1.8,1,76
153,CASES,Chile,6.316432945347147e-06,0.10001305464335812,0.011189140626114156,0.14285714285714285,0.12,0.1999994616844968,0.16653271958242308,0.01098901098901099,0.100193762775817,0.1,0.10138862592434032,1.4,0.0011204830564114335,0.0015686762789760072,7.003036954678077e-05,627063.7355225643,0,65211.6,3.0,1.2,1.8,1,91
147,CASES,China,8.436197359719711e-06,0.1599977669265067,0.05650050460063673,0.14285714285714285,0.12,0.10031798725439756,0.1877295632050712,0.00641025641025641,0.14999993029470127,0.1,0.1498282167527441,1.4,0.008752572714446467,0.012253601800225054,2.5005497672481173e-11,896388.3495005773,0,50495.4,81.0,32.4,48.6,27,156
130,CASES,Colombia,1.956291960711593e-06,0.15204487915863696,0.001000000002104611,0.14285714285714285,0.12,0.19989089239274893,0.10004179771073572,0.011764705882352941,0.10000208437920442,0.1,0.1000016385764468,1.4,0.003273476944057709,0.004582867721680792,0.0020434551819199513,722811.2514436577,0,19099.8,3.0,1.2,1.8,1,85
11,CASES,Congo,9.999994213262096e-06,0.10002978330322244,0.008435768240917123,0.14285714285714285,0.12,0.19999498927066614,0.2720518376805843,0.0125,0.1000129698083159,0.1,0.10521884564077756,1.4,0.0035607054362361275,0.004984987610730578,0.002293719314976961,27103.250741411593,0,366.6,3.0,1.2,1.8,1,80
24,CASES,Costa_Rica,2.5236569878432873e-07,0.10011252526422657,0.3299963686744526,0.14285714285714285,0.12,0.0003226102958703958,0.3999999060006952,0.012195121951219513,0.1489748242437548,0.1,0.14408516743465016,1.4,0.0014793138340313155,0.0020710393676438414,0.00048511475253815167,354545.17616180435,0,590.4,3.0,1.2,1.8,1,82
62,CASES,Cote_dIvoire,8.808660963556163e-06,0.13511677616903628,0.13986556713568454,0.14285714285714285,0.12,0.001317413996765604,0.3999999999826193,0.012195121951219513,0.10521438427075966,0.1,0.12916358187855725,1.4,0.0014250746245377426,0.0019951044743528397,0.00020746956066386435,819376.5287067194,0,1814.4,3.0,1.2,1.8,1,82
52,CASES,Croatia,9.999818491258743e-06,0.15877816217364085,0.08443830627342852,0.14285714285714285,0.12,0.04979700377048042,0.10000012166266432,0.010416666666666666,0.10009969301282014,0.1,0.10000855785998246,1.4,0.004806757563965559,0.006729460589551783,0.049192753294350855,5870.86697246975,0,1347.6,3.0,1.2,1.8,1,96
48,CASES,Cuba,7.211728055300827e-06,0.1599996931902979,0.3046660956001294,0.14285714285714285,0.12,0.19996361055825848,0.37804551864647984,0.012345679012345678,0.14999977830365102,0.1,0.1081711668287445,1.4,0.00446899295509497,0.006256590137132957,0.00018352891957990056,319620.7493672293,0,1255.2,9.0,3.6,5.4,3,81
