,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
0,20/06/2020,20,6,2020,346,2.0,Afghanistan,AF,AFG,38041757,Asia
1,19/06/2020,19,6,2020,658,42.0,Afghanistan,AF,AFG,38041757,Asia
2,18/06/2020,18,6,2020,564,13.0,Afghanistan,AF,AFG,38041757,Asia
3,17/06/2020,17,6,2020,783,13.0,Afghanistan,AF,AFG,38041757,Asia
4,16/06/2020,16,6,2020,761,7.0,Afghanistan,AF,AFG,38041757,Asia
5,15/06/2020,15,6,2020,664,20.0,Afghanistan,AF,AFG,38041757,Asia
6,14/06/2020,14,6,2020,556,5.0,Afghanistan,AF,AFG,38041757,Asia
7,13/06/2020,13,6,2020,656,20.0,Afghanistan,AF,AFG,38041757,Asia
8,12/06/2020,12,6,2020,747,21.0,Afghanistan,AF,AFG,38041757,Asia
9,11/06/2020,11,6,2020,684,21.0,Afghanistan,AF,AFG,38041757,Asia
10,10/06/2020,10,6,2020,542,15.0,Afghanistan,AF,AFG,38041757,Asia
11,09/06/2020,9,6,2020,575,12.0,Afghanistan,AF,AFG,38041757,Asia
12,08/06/2020,8,6,2020,791,30.0,Afghanistan,AF,AFG,38041757,Asia
13,07/06/2020,7,6,2020,582,18.0,Afghanistan,AF,AFG,38041757,Asia
14,06/06/2020,6,6,2020,915,9.0,Afghanistan,AF,AFG,38041757,Asia
15,05/06/2020,5,6,2020,787,6.0,Afghanistan,AF,AFG,38041757,Asia
16,04/06/2020,4,6,2020,758,24.0,Afghanistan,AF,AFG,38041757,Asia
17,03/06/2020,3,6,2020,759,5.0,Afghanistan,AF,AFG,38041757,Asia
18,02/06/2020,2,6,2020,545,8.0,Afghanistan,AF,AFG,38041757,Asia
19,01/06/2020,1,6,2020,680,8.0,Afghanistan,AF,AFG,38041757,Asia
20,31/05/2020,31,5,2020,866,3.0,Afghanistan,AF,AFG,38041757,Asia
21,30/05/2020,30,5,2020,623,11.0,Afghanistan,AF,AFG,38041757,Asia
22,29/05/2020,29,5,2020,580,8.0,Afghanistan,AF,AFG,38041757,Asia
23,28/05/2020,28,5,2020,625,7.0,Afghanistan,AF,AFG,38041757,Asia
24,27/05/2020,27,5,2020,658,1.0,Afghanistan,AF,AFG,38041757,Asia
25,26/05/2020,26,5,2020,591,1.0,Afghanistan,AF,AFG,38041757,Asia
26,25/05/2020,25,5,2020,584,2.0,Afghanistan,AF,AFG,38041757,Asia
27,24/05/2020,24,5,2020,782,11.0,Afghanistan,AF,AFG,38041757,Asia
28,23/05/2020,23,5,2020,540,12.0,Afghanistan,AF,AFG,38041757,Asia
29,22/05/2020,22,5,2020,531,6.0,Afghanistan,AF,AFG,38041757,Asia
30,21/05/2020,21,5,2020,492,9.0,Afghanistan,AF,AFG,38041757,Asia
31,20/05/2020,20,5,2020,581,5.0,Afghanistan,AF,AFG,38041757,Asia
32,19/05/2020,19,5,2020,408,4.0,Afghanistan,AF,AFG,38041757,Asia
33,18/05/2020,18,5,2020,262,1.0,Afghanistan,AF,AFG,38041757,Asia
34,17/05/2020,17,5,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
35,16/05/2020,16,5,2020,1063,32.0,Afghanistan,AF,AFG,38041757,Asia
36,15/05/2020,15,5,2020,113,6.0,Afghanistan,AF,AFG,38041757,Asia
37,14/05/2020,14,5,2020,259,3.0,Afghanistan,AF,AFG,38041757,Asia
38,13/05/2020,13,5,2020,280,5.0,Afghanistan,AF,AFG,38041757,Asia
39,12/05/2020,12,5,2020,285,2.0,Afghanistan,AF,AFG,38041757,Asia
40,11/05/2020,11,5,2020,369,5.0,Afghanistan,AF,AFG,38041757,Asia
41,10/05/2020,10,5,2020,255,6.0,Afghanistan,AF,AFG,38041757,Asia
42,09/05/2020,9,5,2020,215,3.0,Afghanistan,AF,AFG,38041757,Asia
43,08/05/2020,8,5,2020,171,2.0,Afghanistan,AF,AFG,38041757,Asia
44,07/05/2020,7,5,2020,168,9.0,Afghanistan,AF,AFG,38041757,Asia
45,06/05/2020,6,5,2020,330,5.0,Afghanistan,AF,AFG,38041757,Asia
46,05/05/2020,5,5,2020,190,5.0,Afghanistan,AF,AFG,38041757,Asia
47,04/05/2020,4,5,2020,235,13.0,Afghanistan,AF,AFG,38041757,Asia
48,03/05/2020,3,5,2020,134,4.0,Afghanistan,AF,AFG,38041757,Asia
49,02/05/2020,2,5,2020,164,4.0,Afghanistan,AF,AFG,38041757,Asia
50,01/05/2020,1,5,2020,222,4.0,Afghanistan,AF,AFG,38041757,Asia
51,30/04/2020,30,4,2020,122,0.0,Afghanistan,AF,AFG,38041757,Asia
52,29/04/2020,29,4,2020,124,3.0,Afghanistan,AF,AFG,38041757,Asia
53,28/04/2020,28,4,2020,172,0.0,Afghanistan,AF,AFG,38041757,Asia
54,27/04/2020,27,4,2020,68,10.0,Afghanistan,AF,AFG,38041757,Asia
55,26/04/2020,26,4,2020,112,4.0,Afghanistan,AF,AFG,38041757,Asia
56,25/04/2020,25,4,2020,70,1.0,Afghanistan,AF,AFG,38041757,Asia
57,24/04/2020,24,4,2020,105,2.0,Afghanistan,AF,AFG,38041757,Asia
58,23/04/2020,23,4,2020,84,4.0,Afghanistan,AF,AFG,38041757,Asia
59,22/04/2020,22,4,2020,61,1.0,Afghanistan,AF,AFG,38041757,Asia
60,21/04/2020,21,4,2020,35,2.0,Afghanistan,AF,AFG,38041757,Asia
61,20/04/2020,20,4,2020,88,3.0,Afghanistan,AF,AFG,38041757,Asia
62,19/04/2020,19,4,2020,63,0.0,Afghanistan,AF,AFG,38041757,Asia
63,18/04/2020,18,4,2020,51,1.0,Afghanistan,AF,AFG,38041757,Asia
64,17/04/2020,17,4,2020,10,4.0,Afghanistan,AF,AFG,38041757,Asia
65,16/04/2020,16,4,2020,70,2.0,Afghanistan,AF,AFG,38041757,Asia
66,15/04/2020,15,4,2020,49,2.0,Afghanistan,AF,AFG,38041757,Asia
67,14/04/2020,14,4,2020,58,3.0,Afghanistan,AF,AFG,38041757,Asia
68,13/04/2020,13,4,2020,52,0.0,Afghanistan,AF,AFG,38041757,Asia
69,12/04/2020,12,4,2020,34,3.0,Afghanistan,AF,AFG,38041757,Asia
70,11/04/2020,11,4,2020,37,0.0,Afghanistan,AF,AFG,38041757,Asia
71,10/04/2020,10,4,2020,61,1.0,Afghanistan,AF,AFG,38041757,Asia
72,09/04/2020,9,4,2020,56,3.0,Afghanistan,AF,AFG,38041757,Asia
73,08/04/2020,8,4,2020,30,4.0,Afghanistan,AF,AFG,38041757,Asia
74,07/04/2020,7,4,2020,38,0.0,Afghanistan,AF,AFG,38041757,Asia
75,06/04/2020,6,4,2020,29,2.0,Afghanistan,AF,AFG,38041757,Asia
76,05/04/2020,5,4,2020,35,1.0,Afghanistan,AF,AFG,38041757,Asia
77,04/04/2020,4,4,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
78,03/04/2020,3,4,2020,43,0.0,Afghanistan,AF,AFG,38041757,Asia
79,02/04/2020,2,4,2020,26,0.0,Afghanistan,AF,AFG,38041757,Asia
80,01/04/2020,1,4,2020,25,0.0,Afghanistan,AF,AFG,38041757,Asia
81,31/03/2020,31,3,2020,27,0.0,Afghanistan,AF,AFG,38041757,Asia
82,30/03/2020,30,3,2020,8,1.0,Afghanistan,AF,AFG,38041757,Asia
83,29/03/2020,29,3,2020,15,1.0,Afghanistan,AF,AFG,38041757,Asia
84,28/03/2020,28,3,2020,16,1.0,Afghanistan,AF,AFG,38041757,Asia
85,27/03/2020,27,3,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
86,26/03/2020,26,3,2020,33,0.0,Afghanistan,AF,AFG,38041757,Asia
87,25/03/2020,25,3,2020,2,0.0,Afghanistan,AF,AFG,38041757,Asia
88,24/03/2020,24,3,2020,6,1.0,Afghanistan,AF,AFG,38041757,Asia
89,23/03/2020,23,3,2020,10,0.0,Afghanistan,AF,AFG,38041757,Asia
90,22/03/2020,22,3,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
91,21/03/2020,21,3,2020,2,0.0,Afghanistan,AF,AFG,38041757,Asia
92,20/03/2020,20,3,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
93,19/03/2020,19,3,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
94,18/03/2020,18,3,2020,1,0.0,Afghanistan,AF,AFG,38041757,Asia
95,17/03/2020,17,3,2020,5,0.0,Afghanistan,AF,AFG,38041757,Asia
96,16/03/2020,16,3,2020,6,0.0,Afghanistan,AF,AFG,38041757,Asia
97,15/03/2020,15,3,2020,3,0.0,Afghanistan,AF,AFG,38041757,Asia
98,11/03/2020,11,3,2020,3,0.0,Afghanistan,AF,AFG,38041757,Asia
99,08/03/2020,8,3,2020,3,0.0,Afghanistan,AF,AFG,38041757,Asia
100,02/03/2020,2,3,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
101,01/03/2020,1,3,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
102,29/02/2020,29,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
103,28/02/2020,28,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
104,27/02/2020,27,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
105,26/02/2020,26,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
106,25/02/2020,25,2,2020,1,0.0,Afghanistan,AF,AFG,38041757,Asia
107,24/02/2020,24,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
108,23/02/2020,23,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
109,22/02/2020,22,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
110,21/02/2020,21,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
111,20/02/2020,20,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
112,19/02/2020,19,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
113,18/02/2020,18,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
114,17/02/2020,17,2,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
