ct, success, chisqr, redchi, aic, bic, nfev, nvarys, ndata, nfree, gammaD, S0, beta, theta, p, epsilonA, epsilonI, gammaA, cD, delta
Nepal, True, 2021432.6303037829, 20214.32630303783, 1100.07203426407, 1127.0768379219942, 30, 10, 110, 100, 0.1185106760546118, 61668.49941774897, 2.3730882436354963e-07, 0.1295853651885621, 0.15012319989463366, 0.005481918559093458, 0.20001811904557534, 0.12973584694356088, 1.4, 0.00010001146988974918
Albania, True, 8830778.610485941, 127982.2987026948, 938.3201656326091, 962.0146441572793, 29, 10, 79, 69, 0.11961670023323327, 485660.8532024676, 5.998151004522962e-07, 0.12974650948788954, 0.1507109966829615, 0.01953153993448189, 0.2000664671324468, 0.12881849769980855, 1.4, 0.00010006781923221908
United_Republic_of_Tanzania, True, 6878474.61068192, 112761.87886363803, 835.1671592252941, 857.7939579957073, 31, 10, 71, 61, 0.11995950344234042, 70452.58615163725, 1.191423682416326e-07, 0.1296025777329786, 0.15004701261917616, 4.12816402610372e-05, 0.20000530669144417, 0.1301144122513715, 1.4, 0.00010000626831468962
Malta, True, 353967.4297770335, 4985.456757423007, 698.9833931814165, 722.927884728141, 29, 10, 81, 71, 0.1321702801407851, 281400.07917256927, 8.952768262514163e-06, 0.14500745919271518, 0.32997816830547144, 0.0030130396019880327, 0.3772319807141664, 0.1409267879160994, 1.4, 0.00032371905981781746
Cases_on_an_international_conveyance_Japan, True, 62772.20462436299, 3487.344701353499, 236.0217679978747, 249.34381309962674, 237, 10, 28, 18, 0.10632100740820791, 979.2367763487972, 9.999798943087149e-06, 0.1317615448834206, 0.19638568476930493, 0.19904417794851317, 0.1001995326821339, 0.13480775191200645, 1.4, 0.7244162477554968
Costa_Rica, True, 2017874.668729226, 28826.78098184609, 830.842298929424, 854.6625652761628, 29, 10, 80, 70, 0.12473913330159012, 647140.3713298092, 4.4128387044887924e-07, 0.12980236395644187, 0.1506910547764153, 0.03546932956620221, 0.20012303342390225, 0.13240901174822495, 1.4, 0.00010007189523963955
Zambia, True, 6290957.845390111, 106626.40415915442, 808.0157001274877, 830.3567651734603, 30, 10, 69, 59, 0.10154144856848804, 290791.5745953841, 6.724405923080389e-06, 0.15915377804472375, 0.007073311025194972, 0.001000327322832706, 0.10001775314689874, 0.10813101125309257, 1.4, 0.00024720917912474105
Kosovo, True, 406667.8530132604, 6559.158919568717, 642.0141866912054, 664.780847881366, 156, 10, 72, 62, 0.1134272929138653, 307997.8335834664, 9.994791304767936e-06, 0.15182473807202612, 0.3292847868634879, 0.1440436565040129, 0.2333204993567044, 0.14690246367228335, 1.4, 0.00011866410515004588
Andorra, True, 4702.057206653687, 73.46964385396386, 327.2250823682068, 350.2657333002485, 239, 10, 74, 64, 0.1443230046121442, 1144.308222509138, 9.98538927684401e-06, 0.15951428456507194, 0.1735038077038394, 0.08453908942468802, 0.2648456227291154, 0.1056436795098516, 1.4, 0.22420733184911046
Cyprus, True, 1201704.3178858843, 18207.641180089155, 754.8073704133457, 778.1147038162089, 292, 10, 76, 66, 0.10309580256575515, 32126.136267404992, 9.99688652416324e-06, 0.10104046021584949, 0.32999999999642715, 0.0007914344160473542, 0.3999999997453343, 0.1499999957356667, 1.4, 0.007338973535750359
